epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1201.21,0.87705,0.96256,1.24627,0.95691,0.97751,0.98168,0.81127,0.62564,0.84145,0.98439,0.000848969,0.000848969,0.000848969
43,1221.22,0.88552,0.89477,1.22167,0.96955,0.97696,0.98248,0.85814,0.55561,0.73074,0.95015,0.000834822,0.000834822,0.000834822
44,1241.2,0.80697,0.79889,1.16788,0.96402,0.96868,0.98753,0.83533,0.54243,0.70469,0.94772,0.000820675,0.000820675,0.000820675
45,1261.29,0.78223,0.88134,1.15989,0.96722,0.98456,0.9901,0.85042,0.5476,0.69146,0.93974,0.000806528,0.000806528,0.000806528
46,1281.61,0.8292,0.80623,1.21513,0.95489,0.98627,0.98693,0.85428,0.52498,0.66386,0.92037,0.00079238,0.00079238,0.00079238
47,1301.44,0.82723,0.80969,1.18725,0.97272,0.98105,0.98842,0.86181,0.58628,0.68021,0.94244,0.000778233,0.000778233,0.000778233
48,1321.46,0.77797,0.76716,1.18307,0.97474,0.97982,0.99038,0.86661,0.5963,0.62139,0.94941,0.000764086,0.000764086,0.000764086
49,1341.75,0.89156,0.9218,1.29885,0.97086,0.98539,0.99064,0.85536,0.56999,0.61235,0.94633,0.000749939,0.000749939,0.000749939
50,1362.27,0.88776,0.82116,1.28251,0.97305,0.98851,0.9898,0.85168,0.55709,0.62246,0.95058,0.000735792,0.000735792,0.000735792
51,1382,0.75916,0.72831,1.16168,0.97061,0.98851,0.98869,0.85733,0.57229,0.64523,0.94555,0.000721645,0.000721645,0.000721645
52,1401.52,0.81227,0.83829,1.21854,0.96559,0.98546,0.98443,0.8534,0.63072,0.68589,0.95604,0.000707498,0.000707498,0.000707498
53,1420.78,0.76645,0.75651,1.19922,0.96733,0.97759,0.98082,0.84541,0.66539,0.71343,0.97522,0.000693351,0.000693351,0.000693351
54,1439.97,0.85864,0.83031,1.17624,0.96651,0.96772,0.9781,0.83301,0.64316,0.70813,0.96698,0.000679204,0.000679204,0.000679204
55,1459.35,0.77757,0.73815,1.15943,0.9371,0.97701,0.97911,0.84019,0.60729,0.68747,0.95578,0.000665057,0.000665057,0.000665057
56,1478.94,0.85936,0.82825,1.2181,0.97217,0.98619,0.98279,0.84919,0.54992,0.56355,0.93521,0.000650909,0.000650909,0.000650909
57,1498.26,0.7761,0.7344,1.17627,0.97613,0.98712,0.9839,0.85152,0.54434,0.56139,0.92692,0.000636762,0.000636762,0.000636762
58,1517.5,0.82257,0.75172,1.20868,0.95211,0.98851,0.9868,0.8677,0.55022,0.5668,0.92495,0.000622615,0.000622615,0.000622615
59,1537.22,0.75314,0.72872,1.13005,0.94366,0.98851,0.98953,0.86646,0.5672,0.56789,0.93099,0.000608468,0.000608468,0.000608468
60,1557.34,0.81235,0.82824,1.19227,0.96702,0.98851,0.98953,0.88269,0.55512,0.57391,0.92534,0.000594321,0.000594321,0.000594321
61,1576.65,0.80554,0.73365,1.19073,0.96674,0.98851,0.9898,0.88254,0.53506,0.55942,0.92402,0.000580174,0.000580174,0.000580174
62,1595.84,0.74299,0.73729,1.15797,0.96368,0.98851,0.99175,0.8816,0.53276,0.55151,0.92739,0.000566027,0.000566027,0.000566027
63,1615.32,0.7085,0.66571,1.13974,0.96057,0.98851,0.98903,0.87162,0.52533,0.53958,0.93251,0.00055188,0.00055188,0.00055188
64,1634.92,0.72749,0.6901,1.16536,0.95315,0.97701,0.99005,0.83791,0.56642,0.58986,0.96965,0.000537733,0.000537733,0.000537733
65,1654.36,0.74811,0.69719,1.14881,0.94895,0.98586,0.98971,0.84249,0.57338,0.57484,0.96722,0.000523586,0.000523586,0.000523586
66,1673.67,0.72982,0.64824,1.14067,0.94697,0.98039,0.99314,0.83043,0.58936,0.58749,0.97364,0.000509438,0.000509438,0.000509438
